date,avg_MW,peak_MW,min_MW
2024-01-01,2210.5741666666668,3149.0,1414.77
2024-01-02,2210.5741666666668,3149.0,1414.77
2024-01-03,2210.5741666666668,3149.0,1414.77
2024-01-04,2210.5741666666668,3149.0,1414.77
2024-01-05,2210.5741666666668,3149.0,1414.77
2024-01-06,2210.5741666666668,3149.0,1414.77
2024-01-07,2210.5741666666668,3149.0,1414.77
2024-01-08,2210.5741666666668,3149.0,1414.77
2024-01-09,2210.5741666666668,3149.0,1414.77
2024-01-10,2210.5741666666668,3149.0,1414.77
2024-01-11,2210.5741666666668,3149.0,1414.77
2024-01-12,2210.5741666666668,3149.0,1414.77
2024-01-13,2210.5741666666668,3149.0,1414.77
2024-01-14,2210.5741666666668,3149.0,1414.77
2024-01-15,2210.5741666666668,3149.0,1414.77
2024-01-16,2210.5741666666668,3149.0,1414.77
2024-01-17,2210.5741666666668,3149.0,1414.77
2024-01-18,2210.5741666666668,3149.0,1414.77
2024-01-19,2210.5741666666668,3149.0,1414.77
2024-01-20,2210.5741666666668,3149.0,1414.77
2024-01-21,2210.5741666666668,3149.0,1414.77
2024-01-22,2210.5741666666668,3149.0,1414.77
2024-01-23,2210.5741666666668,3149.0,1414.77
2024-01-24,2210.5741666666668,3149.0,1414.77
2024-01-25,2210.5741666666668,3149.0,1414.77
2024-01-26,2210.5741666666668,3149.0,1414.77
2024-01-27,2210.5741666666668,3149.0,1414.77
2024-01-28,2210.5741666666668,3149.0,1414.77
2024-01-29,2210.5741666666668,3149.0,1414.77
2024-01-30,2210.5741666666668,3149.0,1414.77
2024-01-31,2210.5741666666668,3149.0,1414.77
2024-02-01,2249.8316666666665,3204.92,1439.89
2024-02-02,2249.8316666666665,3204.92,1439.89
2024-02-03,2249.8316666666665,3204.92,1439.89
2024-02-04,2249.8316666666665,3204.92,1439.89
2024-02-05,2249.8316666666665,3204.92,1439.89
2024-02-06,2249.8316666666665,3204.92,1439.89
2024-02-07,2249.8316666666665,3204.92,1439.89
2024-02-08,2249.8316666666665,3204.92,1439.89
2024-02-09,2249.8316666666665,3204.92,1439.89
2024-02-10,2249.8316666666665,3204.92,1439.89
2024-02-11,2249.8316666666665,3204.92,1439.89
2024-02-12,2249.8316666666665,3204.92,1439.89
2024-02-13,2249.8316666666665,3204.92,1439.89
2024-02-14,2249.8316666666665,3204.92,1439.89
2024-02-15,2249.8316666666665,3204.92,1439.89
2024-02-16,2249.8316666666665,3204.92,1439.89
2024-02-17,2249.8316666666665,3204.92,1439.89
2024-02-18,2249.8316666666665,3204.92,1439.89
2024-02-19,2249.8316666666665,3204.92,1439.89
2024-02-20,2249.8316666666665,3204.92,1439.89
2024-02-21,2249.8316666666665,3204.92,1439.89
2024-02-22,2249.8316666666665,3204.92,1439.89
2024-02-23,2249.8316666666665,3204.92,1439.89
2024-02-24,2249.8316666666665,3204.92,1439.89
2024-02-25,2249.8316666666665,3204.92,1439.89
2024-02-26,2249.8316666666665,3204.92,1439.89
2024-02-27,2249.8316666666665,3204.92,1439.89
2024-02-28,2249.8316666666665,3204.92,1439.89
2024-02-29,2249.8316666666665,3204.92,1439.89
2024-03-01,2442.022916666667,3478.7,1562.89
2024-03-02,2442.022916666667,3478.7,1562.89
2024-03-03,2442.022916666667,3478.7,1562.89
2024-03-04,2442.022916666667,3478.7,1562.89
2024-03-05,2442.022916666667,3478.7,1562.89
2024-03-06,2442.022916666667,3478.7,1562.89
2024-03-07,2442.022916666667,3478.7,1562.89
2024-03-08,2442.022916666667,3478.7,1562.89
2024-03-09,2442.022916666667,3478.7,1562.89
2024-03-10,2442.022916666667,3478.7,1562.89
2024-03-11,2442.022916666667,3478.7,1562.89
2024-03-12,2442.022916666667,3478.7,1562.89
2024-03-13,2442.022916666667,3478.7,1562.89
2024-03-14,2442.022916666667,3478.7,1562.89
2024-03-15,2442.022916666667,3478.7,1562.89
2024-03-16,2442.022916666667,3478.7,1562.89
2024-03-17,2442.022916666667,3478.7,1562.89
2024-03-18,2442.022916666667,3478.7,1562.89
2024-03-19,2442.022916666667,3478.7,1562.89
2024-03-20,2442.022916666667,3478.7,1562.89
2024-03-21,2442.022916666667,3478.7,1562.89
2024-03-22,2442.022916666667,3478.7,1562.89
2024-03-23,2442.022916666667,3478.7,1562.89
2024-03-24,2442.022916666667,3478.7,1562.89
2024-03-25,2442.022916666667,3478.7,1562.89
2024-03-26,2442.022916666667,3478.7,1562.89
2024-03-27,2442.022916666667,3478.7,1562.89
2024-03-28,2442.022916666667,3478.7,1562.89
2024-03-29,2442.022916666667,3478.7,1562.89
2024-03-30,2442.022916666667,3478.7,1562.89
2024-03-31,2442.022916666667,3478.7,1562.89
2024-04-01,2442.022916666667,3478.7,1562.89
2024-04-02,2442.022916666667,3478.7,1562.89
2024-04-03,2442.022916666667,3478.7,1562.89
2024-04-04,2442.022916666667,3478.7,1562.89
2024-04-05,2442.022916666667,3478.7,1562.89
2024-04-06,2442.022916666667,3478.7,1562.89
2024-04-07,2442.022916666667,3478.7,1562.89
2024-04-08,2442.022916666667,3478.7,1562.89
2024-04-09,2442.022916666667,3478.7,1562.89
2024-04-10,2442.022916666667,3478.7,1562.89
2024-04-11,2442.022916666667,3478.7,1562.89
